################################################################################
# Collectl:   V4.3.1-1  HiRes: 1  Options: -sCDnfM -omT --dskopts z --netopts o --nfsopts z -i 1 --sep , -P -f export_nfs_single/collectl --procfilt P p 
# Host:       comp08  DaemonOpts: 
# Booted:     1603905388.7 [20201028-13:16:28]
# Distro:     CentOS Linux release 8.2.2004 (Core)   Platform: 
# Date:       20201105-194518  Secs: 1604623518 TZ: -0500
# SubSys:     CDnfM Options: mT Interval: 1 NumCPUs: 64 [HYPER] NumBud: 0 Flags: i
# Filters:    NfsFilt:  EnvFilt:  TcpFilt: ituc
# HZ:         100  Arch: x86_64-linux-thread-multi PageSize: 4096
# Cpu:        GenuineIntel Speed(MHz): 1000.116 Cores: 16  Siblings: 32 Nodes: 2
# Kernel:     4.18.0-193.19.1.el8_2.x86_64  Memory: 262284208 kB  Swap: 4194300 kB
# NumDisks:   9 DiskNames: sda sdb sdc sdd sde sdf dm-0 dm-1 dm-2
# NumNets:    3 NetNames: ens4f0:25000 ens4f1:?? lo:??
# SCSI:       DA:2:00:00:00 DA:3:00:00:00 DA:4:00:00:00 DA:5:00:00:00 DA:6:00:00:00 DA:7:00:00:00
################################################################################
#Date,Time,[NET]RxPktTot,[NET]TxPktTot,[NET]RxKBTot,[NET]TxKBTot,[NET]RxCmpTot,[NET]RxMltTot,[NET]TxCmpTot,[NET]RxErrsTot,[NET]TxErrsTot,[NFS]ReadsS,[NFS]WritesS,[NFS]MetaS,[NFS]CommitS,[NFS]Udp,[NFS]Tcp,[NFS]TcpConn,[NFS]BadAuth,[NFS]BadClient,[NFS]ReadsC,[NFS]WritesC,[NFS]MetaC,[NFS]CommitC,[NFS]Retrans,[NFS]AuthRef
20201105,19:46:11.001,23175,1518546,1953,2251135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2093,0,0,0,2096
20201105,19:46:12.001,23036,1521711,1944,2255809,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2101,0,0,0,2102
20201105,19:46:13.001,23095,1541850,1953,2285672,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2128,0,0,0,2128
20201105,19:46:14.001,23169,1540659,1958,2283915,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,0,0,0,2127
20201105,19:46:15.001,22309,1519245,1894,2252162,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2094,0,0,0,2097
20201105,19:46:16.001,24461,1509121,2038,2237153,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2082,0,0,0,2085
20201105,19:46:17.001,1591,96608,132,143210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,1,0,132
20201105,19:46:18.001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:19.001,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
20201105,19:46:20.001,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20201105,19:46:21.001,5,11,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
20201105,19:46:22.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:23.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:24.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:25.001,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:26.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:27.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:28.001,9,8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:29.001,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:30.001,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:31.001,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:32.001,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:33.001,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:34.001,6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:35.001,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:36.001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:37.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:38.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:39.001,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:40.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:41.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:42.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:43.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:44.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:45.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:46.001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:47.001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:48.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:49.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:50.001,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:51.001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:52.001,5,11,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3
20201105,19:46:53.001,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:54.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:55.001,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:56.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:57.001,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:58.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:46:59.001,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:47:00.001,12,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,11
20201105,19:47:01.001,380396,1287,563401,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,526
20201105,19:47:02.001,1286582,5192,1905852,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1770,0,0,0,0,1770
20201105,19:47:03.001,1275626,5400,1889653,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1767,0,0,0,0,1767
20201105,19:47:04.001,1245230,5093,1844546,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1713,0,0,0,0,1713
20201105,19:47:05.001,1268398,5561,1878997,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,0,0,0,0,1755
20201105,19:47:06.001,1256264,5315,1860947,695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725,0,0,0,0,1725
20201105,19:47:07.001,1256582,5141,1861407,683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1740,0,0,0,0,1740
20201105,19:47:08.001,1265413,5264,1874501,695,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1740,0,0,0,0,1740
20201105,19:47:09.001,1272780,5685,1885520,724,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1756,0,0,0,0,1756
20201105,19:47:10.001,1269908,5139,1881094,687,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1754,0,0,0,0,1754
20201105,19:47:11.001,1269074,4975,1879816,675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1755,0,0,0,0,1755
20201105,19:47:12.001,778206,2384,1152559,369,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1074,0,0,0,0,1075
20201105,19:47:13.001,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20201105,19:47:14.001,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:47:15.001,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201105,19:47:16.001,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
